STITCH ID	Drug status	Phase	CGE	OGE	Network	Expression	MolecularWeight	XLogP	HydrogenBondDonorCount	HydrogenBondAcceptorCount	PolarSurfaceArea	FormalCharge	NumRings	RotatableBondCount	Refractivity	Ro5	Ghose	Veber	wQED
CIDs00002342	approved	Phase 4	-2.0283804893012447	1.4427142857142858	0.30170396978907615	0.3442917339702975	404.49988	2.3609	0.0	7.0	68.31	0.0	1.0	8.0	114.006	1.0	1.0	1.0	0.616289243939723
CIDs00002343	approved	Phase 4	-2.1852660937431634	0.6923333333333334	0.2516717102389718	0.34732114748473925	431.93736	4.869	2.0	8.0	160.75	0.0	2.0	5.0	109.5631	1.0	0.0	0.0	0.676757570393521
CIDs00002351	approved	Phase 4	-1.9518836790097174	1.5114999999999998	0.5304397902613414	0.48271908411134334	366.53956	4.7681	0.0	3.0	15.71	0.0	3.0	10.0	118.988	1.0	1.0	1.0	0.514033886538464
CIDs00002353	unapproved	Phase 3	-1.7127959017601564	1.2620937500000002	0.5511696148166638	0.5297550629145761	336.36122	3.0963	0.0	4.0	40.8	1.0	15.0	2.0	94.874	1.0	1.0	1.0	0.454960738296129
CIDs00002355	approved	Phase 4	-1.955629370873532	0.135	0.4457172271791352	0.3870686927548375	216.18952	2.5478	0.0	4.0	52.58	0.0	6.0	1.0	58.748	1.0	0.0	1.0	0.396179213338516
CIDs00002366	approved	Phase 4	-2.3780975068567543	1.1093333333333335	0.11151823658687073	0.34319877450312614	136.19428	1.2344	1.0	2.0	24.92	0.0	1.0	3.0	41.6187	1.0	0.0	1.0	0.675741892891386
CIDs00002369	approved	Phase 4	-2.343170427346834	1.002	0.48550739897256723	0.27659412640016195	307.42776	2.7843	2.0	4.0	50.72	0.0	1.0	11.0	88.9045	1.0	1.0	0.0	0.61730362184203
CIDs00002378	approved	Phase 4	-2.1522089268773494	0.9342499999999999	0.445061406792704	0.360326692747688	310.39172	5.1878	0.0	2.0	17.82	0.0	4.0	4.0	97.899	0.0	1.0	1.0	0.516164655417172
CIDs00002381	approved	Phase 4	-2.1087993752558183	1.4215	0.2502283299709518	0.20495718352296788	311.46106	3.9003	1.0	2.0	23.47	0.0	1.0	5.0	99.7458	1.0	1.0	1.0	0.833731029490506
CIDs00002391	approved	Phase 4	-1.722032422491702	1.432	0.3290928849233585	0.5426536617577001	361.39056	4.1124	0.0	5.0	65.49	0.0	3.0	7.0	101.175	1.0	1.0	1.0	0.467920711999487
CIDs00002405	approved	Phase 4	-2.0232570561998204	0.8908333333333333	0.4690335579542855	0.2635415948215257	325.44304	2.7568	2.0	5.0	59.95	0.0	1.0	12.0	92.1035	1.0	1.0	0.0	0.578758100881201
CIDs00002406	approved	Phase 4	-1.996161277714152	1.2106666666666666	0.2876546522188252	0.40206071493150225	356.05184	5.8626	2.0	3.0	65.76	0.0	2.0	2.0	81.093	0.0	0.0	1.0	0.708087259361134
CIDs00002431	approved	Phase 4	-1.4880843448090235	1.2446666666666666	0.5600157373321409	0.43524120440845077	244.17132	3.2805	1.0	0.0	12.03	1.0	1.0	3.0	63.2517	1.0	0.0	1.0	0.837073404879233
CIDs00002441	approved	Phase 4	-2.1607585223115366	1.2522105263157897	0.3418458653653538	0.24973454108156476	316.1527	2.2072	1.0	4.0	54.35	0.0	2.0	1.0	83.5347	1.0	0.0	1.0	0.876303859851074
CIDs00002444	approved	Phase 4	-2.416102777274124	0.8400000000000001	0.1956725109710696	0.4304449993052106	334.2508	4.1167	0.0	2.0	12.47	0.0	2.0	6.0	86.804	1.0	1.0	1.0	0.788025459086469
CIDs00002448	approved	Phase 4	-2.1346968505095707	1.1105	0.41907070880389347	0.18505823983928837	420.3152232	4.4726	1.0	3.0	40.54	0.0	2.0	6.0	108.1723	1.0	1.0	1.0	0.701457240576681
CIDs00002451	unapproved	Phase 3	-2.3082431404962676	1.011	0.3248667872964373	0.36346558046475175	393.6887	3.8397	0.0	5.0	71.31	0.0	3.0	1.0	96.228	1.0	1.0	1.0	0.627923461288553
CIDs00002471	approved	Phase 4	-1.818320683740937	1.3594117647058823	0.45743949854228827	0.406019535207274	364.4161	4.8906	3.0	7.0	127.1	0.0	2.0	8.0	94.6384	1.0	1.0	1.0	0.568864219209073
CIDs00002472	unapproved	Phase 3	-2.1688209277674715	0.832	0.3017568270210686	0.27053088330563185	373.44938	2.6521	1.0	8.0	93.81	0.0	4.0	6.0	112.6144	1.0	1.0	1.0	0.55121972923699
CIDs00002474	approved	Phase 4	-1.9800257392543343	1.1075833333333334	0.4875082153033423	0.41293217491207784	288.42772	3.9074	1.0	3.0	32.34	0.0	1.0	6.0	93.8397	1.0	1.0	1.0	0.861151212117756
