STITCH ID	Smiles	MolecularWeight	XLogP	HydrogenBondDonorCount	HydrogenBondAcceptorCount	PolarSurfaceArea	FormalCharge	NumRings	RotatableBondCount	Refractivity	Ro5	Ghose	Veber	wQED
CIDs00447865	C/C1=C/C[C@@H](/C(C)=C/c2csc(C)n2)OC(=O)C[C@H](O)C(C)(C)C(=O)[C@H](C)[C@@H](O)[C@@H](C)CCC1	491.68314	5.2663	2.0	7.0	124.96	0.0	1.0	2.0	139.0786	0.0	0.0	1.0	0.426451995615679
CIDs05280450	CCCCC/C=C\C/C=C\CCCCCCCC(=O)O	280.44548	5.8845	1.0	2.0	37.3	0.0	0.0	14.0	89.4638	0.0	0.0	0.0	0.318260215988201
CIDs00065359	N[C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O)C(=O)NCC(=O)O)C(=O)O	612.63108	-0.9126	10.0	20.0	368.24	0.0	0.0	25.0	137.9448	0.0	0.0	0.0	0.0439793250416038
CIDs00002165	CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O	355.86118	5.2522	2.0	3.0	48.39	0.0	4.0	6.0	105.4097	0.0	1.0	1.0	0.464113569129609
CIDs57413968	Cc1ncc([N+](=O)[O-])n1CCNS(N)(=O)=O	249.24764	1.588	2.0	6.0	144.21	0.0	1.0	5.0	56.5571	1.0	0.0	0.0	0.598199176235044
CIDs00002683	CCCCCCCCCCCCCCCC[n+]1ccccc1	304.53312	6.4554	0.0	0.0	3.88	1.0	1.0	15.0	102.138	0.0	0.0	0.0	0.258614854109793
CIDs00941651	CN1CCN(CC/C=C2/c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1	443.62526	4.4273	0.0	6.0	77.54	0.0	6.0	5.0	131.097	1.0	1.0	1.0	0.392274098918549
CIDs00004771	CC(C)(N)Cc1ccccc1	149.2328	2.6667	1.0	1.0	26.02	0.0	1.0	2.0	48.5744	1.0	0.0	1.0	0.686971231313492
CIDs00005991	C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C	296.40336	3.6126	2.0	2.0	40.46	0.0	1.0	0.0	88.8408	1.0	1.0	1.0	0.718000632013333
CIDs00004086	CC(C)NCC(O)c1cc(O)cc(O)c1	211.25758	1.5201	4.0	4.0	72.72	0.0	1.0	4.0	58.6455	1.0	0.0	1.0	0.609000271584012
