STITCH ID	Drug status	Phase	OGE_CGE	OGE	Expression	CGE	Network	Chemical	OGE_CGE_Network_Expression	OGE_CGE_Network_Expression_Chemical
CIDs00444020	unapproved	Phase 3	0.8434573961098233	0.9981262135922332	0.7768543689320389	0.7718155339805826	0.5706213592233009	0.5314434350439204	0.6485696279987542	0.510116504854369
CIDs00444025	approved	Phase 4	0.7376562037563187	0.6570499226250182	0.7369363969930337	0.7384001651089757	0.7378929187321641	0.6523804347826087	0.7372407448191206	0.5959565217391305
CIDs00444030	approved	Phase 4	0.7358694237532372	0.734630107513921	0.7347198511036646	0.7350916459754594	0.734681389565203	0.4452873219373219	0.7359570305908439	0.3994487179487179
CIDs00444036	approved	Phase 4	0.5291840621672097	0.7987905869743532	0.4669610389610389	0.416374346432788	0.4352077922077922	0.7926145330859616	0.5581775772567981	0.5850000000000001
CIDs00444254	approved	Phase 4	0.6254624447311947	0.4064721285273369	0.1317222222222221	0.9661872895622896	0.374625	0.4526506944444444	0.350760548941799	0.4293194444444445
CIDs00444412	approved	Phase 4	0.6169792124542125	0.1667582417582417	0.060043956043956	0.9125247252747252	0.401065934065934	0.5450487441130298	0.2136239839525553	0.5551611721611721
CIDs00444499	unapproved	Phase 2	0.5995989464350909	0.6484843660355708	0.5156024096385542	0.5612846385542168	0.7013253012048193	0.4360938037865749	0.5768508530662229	0.4175060240963855
CIDs00444791	approved	Phase 4	0.4377111412443765	0.6356117647058823	0.1030588235294117	0.1789658823529411	0.0192705882352941	0.4428530642560054	0.3346423202556766	0.4907294117647059
CIDs00444972	approved	Phase 4	0.5374375	0.2858333333333333	0.0832083333333333	0.3877812499999999	0.0774166666666667	0.2331588271103896	0.475737021803428	0.3813828125
CIDs00445154	unapproved	Phase 3	0.5935390515222483	0.9862391295862608	0.2676967213114754	0.7682213114754098	0.9920491803278688	0.6331423887587823	0.5278380334374188	0.5795274264897216
CIDs00445354	approved	Phase 4	0.4016860465116279	0.9663837209302324	0.9768023255813952	0.2210232558139535	0.2868837209302325	0.6570374584717609	0.6396654405349173	0.7796627906976744
CIDs00445580	unapproved	Phase 3	0.4990068846719837	0.4831970297029703	0.0019009900990099	0.2467419950130878	0.381089108910891	0.2368506600660066	0.52934853510038	0.506
CIDs00445639	unapproved	Phase 2	0.7584592592592594	0.0602556481481481	0.7315692592592593	0.9920305772005772	0.8798111111111112	0.1555387037037037	0.8737972170730504	0.3340444444444444
CIDs00445643	approved	Phase 4	0.473520123350545	0.442433734939759	0.9577254828839166	0.7245903614457831	0.6394337349397591	0.5395270510613884	0.7469790590935169	0.6358955823293173
CIDs00446156	approved	Phase 4	0.6324641053391052	0.9997272727272728	0.1694436507936507	0.2970606060606061	0.6733030303030303	0.4174699494949495	0.8431260101010101	0.6218636363636364
CIDs00446157	approved	Phase 4	0.6504344190917108	0.6410833333333333	0.9055833333333332	0.5478888888888889	0.8092440476190476	0.3723125	0.6947263888888888	0.5341972222222222
CIDs00446220	approved	Phase 4	0.6057821551296904	0.8292112676056338	0.9874084507042252	0.2741971830985915	0.0125774647887324	0.7153208920187794	0.7386642288071866	0.7638262910798123
CIDs00446284	unapproved	Phase 3	0.5570695652173914	0.2740869565217391	0.0197223188405797	0.4718347826086956	0.662515377065203	0.271341966873706	0.6427613250517599	0.4359486956521739
CIDs00446596	approved	Phase 4	0.2840647699522699	0.3821196691764871	0.4663548387096774	0.003016129032258	0.7700035772471255	0.492303955453149	0.3372775537634409	0.4558709677419355
CIDs00446598	approved	Phase 4	0.1136112844396748	0.0974769961816075	0.112196141582532	0.1117990622174526	0.1172346177730082	0.5821669523809524	0.1163806177730081	0.5715466666666666
CIDs00446727	unapproved	Phase 2	0.5341142115310432	0.7941683168316832	0.0359108910891089	0.0903457255340918	0.9738148043375766	0.5160284889203206	0.5027206958486734	0.4810808580858085
CIDs00446925	unapproved	Phase 3	0.6223666728138181	0.4369291509370688	0.0023777777777777	0.881035925925926	0.1758775793650793	0.7836507936507936	0.1412094356261022	0.5052333333333333
CIDs00447043	approved	Phase 4	0.8774303401360544	0.1714428571428571	0.6722309815184815	0.8740707823129252	0.0961285714285714	0.7411630952380952	0.7685083373792407	0.8007142857142857
CIDs00447096	unapproved	Phase 2	0.5580250040799148	0.6707270803270803	0.0070953798185941	0.4387388888888889	0.0368690476190476	0.4330339096749811	0.2301217206074348	0.3105952380952381
CIDs00447607	unapproved	Phase 2	0.3299927128427128	0.5845250649350648	0.0014727272727272	0.1913272727272727	0.7812181818181818	0.6038484487734488	0.3455819490358126	0.5345272727272727
CIDs00447715	approved	Phase 4	0.45990625	0.78240625	0.664578125	0.2184374999999999	0.0742031249999999	0.5575267028544373	0.2682800223214285	0.401965625
