STITCH ID	Drug status	Phase	CGE	OGE_CGE	Chemical	OGE	OGE_CGE_Network_Expression	OGE_CGE_Network_Expression_Chemical
CIDs16065403	unapproved	Phase 2	0.8664339030104589	0.8673627055994556	0.3587701571890892	0.8659678835929832	0.8675094154160683	0.3580679611650485
CIDs16066663	unapproved	Phase 2	0.7396666666666666	0.48980319664903	0.1548624074074074	0.6320754497354497	0.4628557461057461	0.4089666666666667
CIDs16102897	unapproved	Phase 2	0.3903980582524272	0.3489842137141616	0.3170043226999537	0.3932718446601941	0.1710266336952432	0.3219223300970874
CIDs16119082	unapproved	Phase 2	0.0309139666175748	0.0298846219931271	0.6278661512027491	0.0232838487972508	0.0252754673851854	0.515041237113402
CIDs16119086	unapproved	Phase 2	0.0331208333333333	0.03077625	0.7094913541666666	0.0241276785714285	0.0256745320100651	0.632025
CIDs16126898	unapproved	Phase 1	0.3176574354657688	0.4515452000160333	0.3951236507936507	0.5212142496392498	0.4517968350785017	0.5462518518518519
CIDs16129675	approved	Phase 4	0.7548891447368421	0.8273752192982456	0.5582763157894737	0.5173552631578948	0.8878660087719299	0.4838684210526316
CIDs16129704	approved	Phase 4	0.94559375	0.790609375	0.3372291666666666	0.466078125	0.865510298859127	0.46959375
CIDs16129778	approved	Phase 4	0.8300481358403379	0.6986551814091992	0.4865059523809524	0.8498809523809524	0.818091898442555	0.557404761904762
CIDs16130933	unapproved	Phase 3	0.2815161290322581	0.6090134664618535	0.4855485663082437	0.4212162229049326	0.553207088595395	0.364763440860215
CIDs16130957	approved	Phase 4	0.8410120481927711	0.8586954867087397	0.6232650602409638	0.5804860752366777	0.8035581330650609	0.7239277108433735
CIDs16131215	approved	Phase 4	0.51996875	0.788571056547619	0.4938098958333333	0.4483645833333333	0.6542765176473616	0.55975
CIDs16132392	approved	Phase 4	0.0185862068965517	0.2065959925770271	0.6403793103448276	0.0108620689655172	0.6658614437446334	0.4435632183908045
CIDs16132416	unapproved	Phase 3	0.2358291587941044	0.231315293462576	0.7194175724637681	0.016016304347826	0.170544260555266	0.5893586956521739
CIDs16133802	approved	Phase 4	0.4439189189189189	0.4393143607893607	0.5526081081081081	0.0007702702702702	0.3120832363207363	0.448027027027027
CIDs16134395	approved	Phase 4	0.5505740669136754	0.1697445114084526	0.5198915662650602	0.3211927710843373	0.4066519014784499	0.413578313253012
CIDs16136245	approved	Phase 4	0.4804347826086956	0.783675293305728	0.4862608695652174	0.4028768115942029	0.6205539377362461	0.5466376811594202
CIDs16137271	approved	Phase 4	0.5529761904761905	0.3662222868401439	0.6159166666666667	0.9889404761904762	0.2562213562561777	0.533154761904762
